title,rooms,area_m2,price,price_per_m2,address,district,latitude,longitude,link
3-комнатная квартира · 62.5 м² · 4/5 этаж,3,62.5,42500000,680000.0,"Бостандыкский р-н, мкр Орбита-4 3 — В центре Орбиты Бостандыкский район",Бостандыкский,,,https://krisha.kz/a/show/1000225546
4-комнатная квартира · 140 м² · 10/13 этаж,4,140.0,100000000,714285.71,"Ауэзовский р-н, мкр Мамыр-7, Шаляпина 21 — Шаляпина - Момышулы",Ауэзовский,,,https://krisha.kz/a/show/1003764788
2-комнатная квартира · 70.2 м²,2,70.2,54481700,776092.59,"Наурызбайский р-н, мкр Акжар, Белжайлау 47а",Наурызбайский,,,https://krisha.kz/a/show/1000286080
3-комнатная квартира · 108.27 м²,3,108.27,129924000,1200000.0,"Алмалинский р-н, Ади Шарипова 100",Алмалинский,,,https://krisha.kz/a/show/690934973
3-комнатная квартира · 78.63 м²,3,78.63,33810900,430000.0,"Турксибский р-н, мкр Нуршашкан (Колхозши), Алатау 36",Турксибский,,,https://krisha.kz/a/show/1000470242
4-комнатная квартира · 122.75 м²,4,122.75,90835000,740000.0,"Алатауский р-н, Ботакоз 2/1",Алатауский,,,https://krisha.kz/a/show/695180124
2-комнатная квартира · 205 м²,2,205.0,180400000,880000.0,"Наурызбайский р-н, Талжанова 1А",Наурызбайский,,,https://krisha.kz/a/show/695179202
3-комнатная квартира · 86 м²,3,86.0,134590000,1565000.0,"Медеуский р-н, Талгат Бигелдинов 1/2",Медеуский,,,https://krisha.kz/a/show/1005842266
2-комнатная квартира · 84.2 м²,2,84.2,114091000,1355000.0,"Медеуский р-н, Талгат Бигелдинов 1/2",Медеуский,,,https://krisha.kz/a/show/1005842263
2-комнатная квартира · 69.43 м²,2,69.43,83316000,1200000.0,"Алмалинский р-н, Ади Шарипова 100",Алмалинский,,,https://krisha.kz/a/show/683974495
1-комнатная квартира · 58.4 м²,1,58.4,35624000,610000.0,"Наурызбайский р-н, мкр Таусамалы, Жандосова 70Б",Наурызбайский,,,https://krisha.kz/a/show/682828214
3-комнатная квартира · 117 м² · 8/12 этаж,3,117.0,200000000,1709401.71,"Бостандыкский р-н, Радостовца 280",Бостандыкский,,,https://krisha.kz/a/show/1003653792
3-комнатная квартира · 155 м² · 3/3 этаж,3,155.0,312000000,2012903.23,"Медеуский р-н, Тайманова 224Б",Медеуский,,,https://krisha.kz/a/show/1005168279
3-комнатная квартира · 139.2 м² · 11/22 этаж,3,139.2,260000000,1867816.09,"Бостандыкский р-н, Аль-Фараби",Бостандыкский,,,https://krisha.kz/a/show/1006011259
1-комнатная квартира · 60.3 м²,1,60.3,39195000,650000.0,"Ауэзовский р-н, мкр Жетысу-3 55А",Ауэзовский,,,https://krisha.kz/a/show/1003290032
2-комнатная квартира · 49.2 м² · 2/5 этаж,2,49.2,21000000,426829.27,"Алатауский р-н, Басаркобыз 1/15 — Саина - Монке би, Саялы, автоцон, спеццон",Алатауский,,,https://krisha.kz/a/show/760845289
